name,yomi,range,atk,def
アイリ（バンド）,あいり（ばんど）,550🛡,爆発,特殊装甲
アオバ,あおば,350,振動,軽装備
アカネ,あかね,アカネ,貫通,軽装備
アカリ,あかり,650🛡,爆発,重装甲
アコ（ドレス）,あこ（どれす）,550🛡,爆発,特殊装甲
アズサ,あずさ,650🛡,爆発,重装甲
アズサ（水着）,あずさ（みずぎ）,650🛡,神秘,軽装備
アスナ,あすな,650🛡,神秘,軽装備
アスナ（バニーガール）,あすな（ばにーがーる）,650🛡,神秘,軽装備
アスナ（制服）,あすな（せいふく）,650🛡,爆発,重装甲
アツコ,あつこ,350🛡,爆発,特殊装甲
アリス,ありす,850,神秘,特殊装甲
アリス（メイド）,ありす（めいど）,850,神秘,軽装備
アリス（臨戦）,ありす（りんせん）,650,神秘,複合装甲
アル,ある,750🛡,爆発,軽装備
アル（ドレス）,ある（どれす）,750🛡,貫通,重装甲
アル（正月）,ある（しょうがつ）,750🛡,貫通,特殊装甲
イオリ,いおり,650🛡,貫通,重装甲
イオリ（水着）,いおり（みずぎ）,750🛡,爆発,特殊装甲
イズナ,いずな,450🛡,神秘,軽装備
イズナ（水着）,いずな（みずぎ）,450🛡,神秘,特殊装甲
イズミ,いずみ,750,爆発,軽装備
イズミ（水着）,いずみ（みずぎ）,750,爆発,軽装備
イチカ,いちか,650🛡,振動,重装甲
イブキ,いぶき,650🛡,神秘,重装甲
ウイ,うい,750🛡,爆発,軽装備
ウイ（水着）,うい（みずぎ）,750🛡,貫通,弾力装甲
ウタハ（応援団）,うたは（おうえんだん）,450,神秘,特殊装甲
ウミカ,うみか,650🛡,神秘,特殊装甲
エイミ,えいみ,350,爆発,軽装備
エイミ（臨戦）,えいみ（りんせん）,750,爆発,軽装備
エリ,えり,750🛡,振動,特殊装甲
オトギ,おとぎ,750🛡,爆発,特殊装甲
カズサ,かずさ,750,貫通,重装甲
カズサ（バンド）,かずさ（ばんど）,750,爆発,特殊装甲
カスミ,かすみ,550🛡,振動,重装甲
カノエ,かのえ,350,神秘,重装甲
カホ,かほ,650🛡,神秘,重装甲
カヨコ,かよこ,550🛡,爆発,重装甲
カヨコ（ドレス）,かよこ（どれす）,550🛡,貫通,軽装備
カヨコ（正月）,かよこ（しょうがつ）,550🛡,神秘,特殊装甲
カリン（バニーガール）,かりん（ばにーがーる）,750🛡,神秘,重装甲
カンナ（水着）,かんな（みずぎ）,550🛡,爆発,軽装備
キキョウ,ききょう,750🛡,振動,重装甲
キララ,きらら,650🛡,振動,軽装備
キリノ,きりの,550🛡,爆発,特殊装甲
クルミ,くるみ,350,爆発,軽装備
ケイ,けい,850,神秘,複合装甲
ココナ,ここな,650🛡,貫通,特殊装甲
コタマ（キャンプ）,こたま（きゃんぷ）,550🛡,貫通,重装甲
コトリ,ことり,750,貫通,軽装備
コトリ（応援団）,ことり（おうえんだん）,750,爆発,特殊装甲
コノカ,このか,350,神秘,軽装備
コハル,こはる,750🛡,爆発,重装甲
コハル（水着）,こはる（みずぎ）,750🛡,神秘,重装甲
コユキ,こゆき,750,神秘,重装甲
サオリ,さおり,650🛡,爆発,特殊装甲
サオリ（ドレス）,さおり（どれす）,650,振動,軽装備
サオリ（水着）,さおり（みずぎ）,650🛡,神秘,重装甲
サキ（水着）,さき（みずぎ）,750,爆発,重装甲
サクラコ,さくらこ,650🛡,神秘,特殊装甲
サクラコ（アイドル）,さくらこ（あいどる）,650🛡,爆発,重装甲
シグレ,しぐれ,650🛡,爆発,重装甲
ジュリ（アルバイト）,じゅり（あるばいと）,350,神秘,軽装備
シュン,しゅん,シュン属,爆発,軽装備
シュン（幼女）,しゅん（ようじょ）,750🛡,爆発,軽装備
ジュンコ,じゅんこ,650🛡,貫通,軽装備
ジュンコ（正月）,じゅんこ（しょうがつ）,650🛡,神秘,重装甲
シロコ,しろこ,650🛡,爆発,軽装備
シロコ（ライディング）,しろこ（らいでぃんぐ）,650🛡,神秘,重装甲
シロコ＊テラー,しろこ てらー,650,神秘,特殊装甲
スズミ,すずみ,650🛡,爆発,重装甲
スズミ（マジカル）,すずみ（まじかる）,650🛡,振動,特殊装甲
スバル,すばる,650🛡,神秘,特殊装甲
スミレ,すみれ,450,貫通,特殊装甲
セイア,せいあ,550🛡,貫通,弾力装甲
セイア（水着）,せいあ（みずぎ）,550🛡,貫通,特殊装甲
セナ（私服）,せな（しふく）,650🛡,振動,重装甲
セリカ,せりか,650🛡,爆発,軽装備
セリナ（クリスマス）,せりな（くりすます）,650🛡,貫通,特殊装甲
タカネ,たかね,550🛡,神秘,軽装備
チアキ,ちあき,650🛡,振動,特殊装甲
チェリノ,ちぇりの,550🛡,貫通,軽装備
チセ,ちせ,650🛡,神秘,重装甲
チセ（水着）,ちせ（みずぎ）,650🛡,神秘,軽装備
チナツ（温泉）,ちなつ（おんせん）,650🛡,神秘,軽装備
ツクヨ,つくよ,350🛡,神秘,軽装備
ツクヨ（ドレス）,つくよ（どれす）,350,貫通,軽装備
ツバキ,つばき,350,貫通,特殊装甲
ツルギ,つるぎ,ツルギ,貫通,重装甲
ツルギ（水着）,つるぎ（みずぎ）,450,神秘,特殊装甲
トキ,とき,650,爆発,弾力装甲
トキ（バニーガール）,とき（ばにーがーる）,650🛡,爆発,軽装備
トキ（臨戦）,とき（りんせん）,550🛡,貫通,軽装備
トモエ,ともえ,750🛡,貫通,特殊装甲
